# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     6.710       349         0         56981
     2.480         0         1         58788
     2.640         1         0         58820
     3.210         1         0         59021
     2.710         0         1         59117
     2.820         1         0         59156
     4.050         0         1         59165
     3.000         1         0         59202
     3.810         0         1         59231
     3.410         1         1         59532
     2.860         0         1         59705
     2.630         0         1         59730
     3.960         1         0         60310
     2.780         0         1         60433
     3.920         2         0         60509
     2.560         0         1         60664
